lr-AdamW,step,train_loss,train_acc,epoch,val_loss,val_acc
,17049,0.8268783830692178,0.7578125,3,,
,17099,0.9887235096190923,0.6796875,3,,
,17149,0.8640200866281571,0.7421875,3,,
,17199,0.8583967456679878,0.6953125,3,,
,17249,1.0071031662219818,0.671875,3,,
,17299,0.6964400652085002,0.734375,3,,
,17349,1.0199072750860925,0.671875,3,,
,17399,0.8685518196822117,0.7109375,3,,
,17449,1.0775907957507178,0.6640625,3,,
,17499,1.0894303801753182,0.671875,3,,
,17549,0.8961080970013294,0.7109375,3,,
,17599,0.8662061811560208,0.7265625,3,,
,17649,0.9179864984029992,0.71875,3,,
,17699,0.7312134308939198,0.7578125,3,,
,17749,0.9030279893629185,0.71875,3,,
,17799,0.7280173943359626,0.78125,3,,
,17849,0.9954214560024324,0.7109375,3,,
,17899,0.7770019943329382,0.75,3,,
,17949,1.0187388521931555,0.671875,3,,
,17999,0.9550310208022789,0.7109375,3,,
,18049,0.8697556467996603,0.703125,3,,
,18099,0.9474128182757391,0.6875,3,,
,18149,1.0278938518594105,0.6640625,3,,
,18199,1.1130191213623186,0.6875,3,,
,18249,1.0548254797900463,0.6640625,3,,
,18299,0.975080345094535,0.6484375,3,,
,18349,0.8251950965504217,0.71875,3,,
,18399,0.8506952224607448,0.7578125,3,,
,18449,0.926374604774499,0.671875,3,,
,18499,0.8567567848694813,0.7265625,3,,
,18549,0.8717676248580092,0.6796875,3,,
,18599,1.003533046663137,0.671875,3,,
,18649,0.8332121396692631,0.6796875,3,,
,18699,0.8367466033903624,0.75,3,,
,18749,0.9537663569424415,0.671875,3,,
,18799,1.0589995270029482,0.6796875,3,,
,18849,0.8240566307183252,0.7578125,3,,
,18899,0.8806222191270477,0.7578125,3,,
,18949,0.919012213863208,0.71875,3,,
,18999,0.8723064344664888,0.7421875,3,,
,19049,0.849539160367771,0.7109375,3,,
,19099,1.1446384291325544,0.6328125,3,,
,19149,0.9083048672523879,0.734375,3,,
,19199,0.9571093198009579,0.703125,3,,
,19249,0.9641748222707657,0.671875,3,,
,19299,1.1059903154988127,0.640625,3,,
,19349,0.918238754371127,0.671875,3,,
,19399,0.8717188444379395,0.71875,3,,
,19449,0.7491328673667349,0.7421875,3,,
,19499,1.032545407002891,0.640625,3,,
,19549,0.9119853501223123,0.6640625,3,,
,19599,0.7460394865752916,0.78125,3,,
,19649,0.9337260655354265,0.671875,3,,
,19699,1.058638072099546,0.6640625,3,,
,19749,1.062316531485909,0.625,3,,
,19799,0.7552118239998082,0.734375,3,,
,19849,0.8336505539748011,0.71875,3,,
,19899,0.85396328462729,0.703125,3,,
,19949,0.8156559912633462,0.7265625,3,,
,19999,0.9639021291711427,0.671875,3,,
,20049,0.9855149309691775,0.671875,3,,
,20099,0.8039161192537849,0.7265625,3,,
,20149,0.8997548404805522,0.6953125,3,,
,20199,0.8535921994257464,0.6796875,3,,
,20249,0.8119776847020457,0.6640625,3,,
,20299,1.0100277810426006,0.6484375,3,,
,20349,0.8334328996825131,0.734375,3,,
,20399,0.8464560664128026,0.7265625,3,,
,20449,0.6782245906832968,0.7890625,3,,
,20499,0.9955826593464912,0.6875,3,,
,20549,0.8166821235765102,0.7421875,3,,
,20599,0.8123069072707944,0.734375,3,,
,20649,0.9493730677299392,0.671875,3,,
,20699,0.7958566954448741,0.7109375,3,,
,20749,0.8986412979308369,0.734375,3,,
,20799,1.0254814135534445,0.6875,3,,
,20849,0.9841694667620546,0.6796875,3,,
,20899,0.8075237769470612,0.7421875,3,,
,20949,0.7341713164675059,0.75,3,,
,20999,0.7667409469716973,0.7421875,3,,
,21049,0.7137471256776949,0.7421875,3,,
,21099,1.0684675511351558,0.6796875,3,,
,21149,0.8982736589539083,0.671875,3,,
,21199,0.760818258360961,0.75,3,,
,21249,0.8629767576111086,0.6640625,3,,
,21299,0.81003559293146,0.75,3,,
,21349,0.892181889837758,0.734375,3,,
,21399,0.8341848229622778,0.71875,3,,
,21449,0.7503040169166958,0.734375,3,,
,21499,0.8211090301544707,0.765625,3,,
,21549,0.893116132149767,0.7109375,3,,
,21599,0.7826153674606835,0.7265625,3,,
,21649,0.8832420866365653,0.6796875,3,,
,21699,0.8326385542757844,0.7265625,3,,
,21749,0.9403008357402499,0.6796875,3,,
,21799,0.8416305774636059,0.7265625,3,,
,21849,0.9931457082247392,0.703125,3,,
,21899,0.9270689054919825,0.6953125,3,,
,21949,0.8913104782486728,0.7109375,3,,
,21999,0.9934236097146945,0.59375,3,,
,22049,0.8423554118819582,0.6953125,3,,
,22099,0.8197471919945855,0.7578125,3,,
,22127,,,3,0.7638768904680797,0.7550318320218277
0.0001,22128,,,,,
,22149,0.8581612917690684,0.7265625,4,,
,22199,0.8732245950709072,0.7421875,4,,
,22249,0.7795270076865211,0.7421875,4,,
,22299,0.8741443701889222,0.6875,4,,
,22349,1.198958879093386,0.65625,4,,
,22399,0.8382668414916827,0.7421875,4,,
,22449,0.8737017571011073,0.734375,4,,
,22499,0.860578729791182,0.7109375,4,,
,22549,0.7390678708392389,0.71875,4,,
,22599,0.87603607521718,0.7265625,4,,
,22649,0.8115507948968462,0.7734375,4,,
,22699,0.7914214217270744,0.7265625,4,,
,22749,0.9336951907401293,0.6953125,4,,
,22799,0.8673435082911222,0.7109375,4,,
,22849,0.8041242909067317,0.7265625,4,,
,22899,1.0261645292170056,0.625,4,,
,22949,0.9830258569247582,0.6640625,4,,
,22999,1.0455010750946736,0.640625,4,,
,23049,0.9056148898703583,0.734375,4,,
,23099,1.0831392908439565,0.6875,4,,
,23149,0.8687530153867558,0.7265625,4,,
,23199,0.9582785339231279,0.671875,4,,
,23249,0.7512263828635122,0.7578125,4,,
